date,sku_id,units_sold,promotion_active
2025-02-17,M001,4,False
2025-02-17,M002,1,False
2025-02-17,M003,1,False
2025-02-17,A001,7,False
2025-02-17,A002,5,False
2025-02-17,A003,4,False
2025-02-17,A004,4,False
2025-02-17,A005,2,False
2025-02-17,A006,4,False
2025-02-17,B001,6,False
2025-02-17,B002,0,False
2025-02-18,M001,2,False
2025-02-18,M002,2,False
2025-02-18,M003,0,False
2025-02-18,A001,6,False
2025-02-18,A002,5,False
2025-02-18,A003,9,False
2025-02-18,A004,2,False
2025-02-18,A005,3,False
2025-02-18,A006,3,False
2025-02-18,B001,4,False
2025-02-18,B002,3,False
2025-02-19,M001,2,False
2025-02-19,M002,3,False
2025-02-19,M003,1,False
2025-02-19,A001,11,False
2025-02-19,A002,5,False
2025-02-19,A003,9,False
2025-02-19,A004,3,False
2025-02-19,A005,3,False
2025-02-19,A006,5,False
2025-02-19,B001,3,False
2025-02-19,B002,0,False
2025-02-20,M001,5,False
2025-02-20,M002,4,False
2025-02-20,M003,1,False
2025-02-20,A001,12,False
2025-02-20,A002,11,False
2025-02-20,A003,11,False
2025-02-20,A004,2,False
2025-02-20,A005,10,False
2025-02-20,A006,7,False
2025-02-20,B001,7,False
2025-02-20,B002,7,False
2025-02-21,M001,4,False
2025-02-21,M002,1,False
2025-02-21,M003,0,False
2025-02-21,A001,14,False
2025-02-21,A002,5,False
2025-02-21,A003,9,False
2025-02-21,A004,6,False
2025-02-21,A005,9,False
2025-02-21,A006,1,False
2025-02-21,B001,3,False
2025-02-21,B002,2,False
2025-02-22,M001,3,False
2025-02-22,M002,5,False
2025-02-22,M003,0,False
2025-02-22,A001,19,False
2025-02-22,A002,9,False
2025-02-22,A003,5,False
2025-02-22,A004,7,False
2025-02-22,A005,12,False
2025-02-22,A006,5,False
2025-02-22,B001,6,False
2025-02-22,B002,5,False
2025-02-23,M001,2,False
2025-02-23,M002,2,False
2025-02-23,M003,2,False
2025-02-23,A001,6,False
2025-02-23,A002,9,False
2025-02-23,A003,6,False
2025-02-23,A004,2,False
2025-02-23,A005,8,False
2025-02-23,A006,4,False
2025-02-23,B001,8,False
2025-02-23,B002,5,False
2025-02-24,M001,2,False
2025-02-24,M002,6,False
2025-02-24,M003,4,False
2025-02-24,A001,6,False
2025-02-24,A002,7,False
2025-02-24,A003,12,False
2025-02-24,A004,3,False
2025-02-24,A005,7,False
2025-02-24,A006,4,False
2025-02-24,B001,4,False
2025-02-24,B002,3,False
2025-02-25,M001,3,False
2025-02-25,M002,4,False
2025-02-25,M003,0,False
2025-02-25,A001,5,False
2025-02-25,A002,4,False
2025-02-25,A003,3,False
2025-02-25,A004,4,False
2025-02-25,A005,4,False
2025-02-25,A006,3,False
2025-02-25,B001,5,False
2025-02-25,B002,4,False
2025-02-26,M001,2,False
2025-02-26,M002,0,False
2025-02-26,M003,1,False
2025-02-26,A001,10,False
2025-02-26,A002,7,False
2025-02-26,A003,3,False
2025-02-26,A004,3,False
2025-02-26,A005,6,False
2025-02-26,A006,5,False
2025-02-26,B001,3,False
2025-02-26,B002,2,False
2025-02-27,M001,1,False
2025-02-27,M002,1,False
2025-02-27,M003,2,False
2025-02-27,A001,13,False
2025-02-27,A002,9,False
2025-02-27,A003,6,False
2025-02-27,A004,8,False
2025-02-27,A005,8,False
2025-02-27,A006,5,False
2025-02-27,B001,3,False
2025-02-27,B002,0,False
2025-02-28,M001,4,False
2025-02-28,M002,3,False
2025-02-28,M003,5,False
2025-02-28,A001,11,False
2025-02-28,A002,5,False
2025-02-28,A003,13,False
2025-02-28,A004,7,False
2025-02-28,A005,2,False
2025-02-28,A006,6,False
2025-02-28,B001,3,False
2025-02-28,B002,3,False
2025-03-01,M001,0,False
2025-03-01,M002,5,False
2025-03-01,M003,2,False
2025-03-01,A001,16,False
2025-03-01,A002,10,False
2025-03-01,A003,10,False
2025-03-01,A004,7,False
2025-03-01,A005,6,False
2025-03-01,A006,5,False
2025-03-01,B001,7,False
2025-03-01,B002,1,False
2025-03-02,M001,6,False
2025-03-02,M002,5,False
2025-03-02,M003,0,False
2025-03-02,A001,12,False
2025-03-02,A002,8,False
2025-03-02,A003,7,False
2025-03-02,A004,8,False
2025-03-02,A005,11,False
2025-03-02,A006,5,False
2025-03-02,B001,7,False
2025-03-02,B002,2,False
2025-03-03,M001,0,False
2025-03-03,M002,4,False
2025-03-03,M003,3,False
2025-03-03,A001,10,False
2025-03-03,A002,11,False
2025-03-03,A003,10,False
2025-03-03,A004,4,False
2025-03-03,A005,4,False
2025-03-03,A006,7,False
2025-03-03,B001,3,False
2025-03-03,B002,5,False
2025-03-04,M001,6,False
2025-03-04,M002,0,False
2025-03-04,M003,0,False
2025-03-04,A001,9,False
2025-03-04,A002,9,False
2025-03-04,A003,7,False
2025-03-04,A004,7,False
2025-03-04,A005,7,False
2025-03-04,A006,3,False
2025-03-04,B001,6,False
2025-03-04,B002,3,False
2025-03-05,M001,2,False
2025-03-05,M002,6,False
2025-03-05,M003,8,False
2025-03-05,A001,14,False
2025-03-05,A002,7,False
2025-03-05,A003,11,False
2025-03-05,A004,4,False
2025-03-05,A005,5,False
2025-03-05,A006,5,False
2025-03-05,B001,5,False
2025-03-05,B002,2,False
2025-03-06,M001,2,False
2025-03-06,M002,6,False
2025-03-06,M003,3,False
2025-03-06,A001,10,False
2025-03-06,A002,13,False
2025-03-06,A003,9,False
2025-03-06,A004,4,False
2025-03-06,A005,9,False
2025-03-06,A006,6,False
2025-03-06,B001,3,False
2025-03-06,B002,2,False
2025-03-07,M001,3,False
2025-03-07,M002,3,False
2025-03-07,M003,6,False
2025-03-07,A001,14,False
2025-03-07,A002,6,False
2025-03-07,A003,13,False
2025-03-07,A004,2,False
2025-03-07,A005,10,False
2025-03-07,A006,9,False
2025-03-07,B001,4,False
2025-03-07,B002,3,False
2025-03-08,M001,4,False
2025-03-08,M002,6,False
2025-03-08,M003,1,False
2025-03-08,A001,15,False
2025-03-08,A002,10,False
2025-03-08,A003,13,False
2025-03-08,A004,9,False
2025-03-08,A005,5,False
2025-03-08,A006,3,False
2025-03-08,B001,5,False
2025-03-08,B002,3,False
2025-03-09,M001,4,False
2025-03-09,M002,0,False
2025-03-09,M003,5,False
2025-03-09,A001,9,False
2025-03-09,A002,10,False
2025-03-09,A003,12,False
